number,french_lemma,thematic,pos,english,example,example_french,word count,example_english,range_count,frequency_raw,range_pipe_frequency,pos_tokens,reason
718,davantage,none,adv,more,* nous sentons tous que nous devons travailler davantage -- we sense that we must work more,nous sentons tous que nous devons travailler davantage,8,we sense that we must work more,78,2311,78 | 2311,adv,no_noun_verb_adj_bucket
728,actuellement,none,adv,"at present, at the moment",* je suis très seul actuellement -- I'm very alone at the moment,je suis très seul actuellement,5,I'm very alone at the moment,74,2776,74 | 2776,adv,no_noun_verb_adj_bucket
732,ceci,none,pro,this,* tout ceci est votre création -- this is all your creation,tout ceci est votre création,5,this is all your creation,81,1915,81 | 1915,pro,no_noun_verb_adj_bucket
736,d'accord,none,intj,"okay, alright","* je m'en occupe, d'accord? -- I'll take care of it, OK?","je m'en occupe, d'accord?",4,"I'll take care of it, OK?",62,4443+s,62 | 4443+s,intj,no_noun_verb_adj_bucket
770,toutefois,none,"adv,conj",however,"* toutefois, l'industrie connaît des problèmes réels -- however, the industry is experiencing real problems","toutefois, l'industrie connaît des problèmes réels",6,"however, the industry is experiencing real problems",71,3054,71 | 3054,adv|conj,no_noun_verb_adj_bucket
772,quelqu'un,none,pro,"somebody, someone",* il vaudrait mieux le demander au quelqu'un -- it would be better to ask someone about it,il vaudrait mieux le demander au quelqu'un,7,it would be better to ask someone about it,71,3014-n +s,71 | 3014-n +s,pro,no_noun_verb_adj_bucket
779,particulièrement,none,adv,particularly,* ce sont là des problèmes particulièrement délicats -- those are particularly delicate questions,ce sont là des problèmes particulièrement délicats,7,those are particularly delicate questions,76,2401,76 | 2401,adv,no_noun_verb_adj_bucket
795,durant,none,prep,"during, for",* j'ai travaillé sur ce problème durant toute ma carrière -- I have worked on this problem for my entire career,j'ai travaillé sur ce problème durant toute ma carrière,9,I have worked on this problem for my entire career,79,2002,79 | 2002,prep,no_noun_verb_adj_bucket
800,combien,Adverbs – differences across registers,"adv,conj","how much, how many",* tu pèses combien maintenant? -- how much do you weigh now?,tu pèses combien maintenant?,4,how much do you weigh now?,77,2211-n +s,77 | 2211-n +s,adv|conj,no_noun_verb_adj_bucket
805,derrière,Adverbs – differences across registers,"adv,nm,prep",last; behind,* Mathieu s'abrita derrière le pilier -- Mathieu took shelter behind the pillar,Mathieu s'abrita derrière le pilier,5,Mathieu took shelter behind the pillar,72,2684,72 | 2684,adv|nm|prep,moved_from_nouns_contains_adv_or_conj
807,immédiatement,none,adv,immediately,"* les enfants, partez immédiatement -- children, leave immediately","les enfants, partez immédiatement",4,"children, leave immediately",85,1309,85 | 1309,adv,no_noun_verb_adj_bucket
843,finalement,none,adv,"finally, eventually","* finalement, la porte s'ouvrit -- finally, the door opened","finalement, la porte s'ouvrit",4,"finally, the door opened",79,1874,79 | 1874,adv,no_noun_verb_adj_bucket
857,exactement,Adverbs – differences across registers,adv,exactly,* la pièce ne paraissait pas exactement sombre -- the room didn't appear exactly dark,la pièce ne paraissait pas exactement sombre,7,the room didn't appear exactly dark,80,1732,80 | 1732,adv,no_noun_verb_adj_bucket
865,hors,none,"adv,prep","except, outside",* ils s'installèrent hors de la ville -- they moved in outside the city,ils s'installèrent hors de la ville,6,they moved in outside the city,80,1716,80 | 1716,adv|prep,no_noun_verb_adj_bucket
869,tellement,Adverbs – differences across registers,adv,so much,* vous êtes tellement différente des autres femelles -- you are so different from other females,vous êtes tellement différente des autres femelles,7,you are so different from other females,77,2006-n,77 | 2006-n,adv,no_noun_verb_adj_bucket
871,demain,Time,"adv,nm",tomorrow,* je te verrai demain matin -- I'll see you tomorrow morning,je te verrai demain matin,5,I'll see you tomorrow morning,71,2586,71 | 2586,adv|nm,moved_from_nouns_contains_adv_or_conj
872,hier,none,adv,yesterday,"* tu nous as manqué, hier soir -- we missed you last night","tu nous as manqué, hier soir",6,we missed you last night,65,3313-n +s,65 | 3313-n +s,adv,no_noun_verb_adj_bucket
888,directement,none,adv,directly,* son action s'exerce directement ou par intermédiaire -- his actions are taken personally or by an intermediary,son action s'exerce directement ou par intermédiaire,7,his actions are taken personally or by an intermediary,81,1606,81 | 1606,adv,no_noun_verb_adj_bucket
889,euh,none,intj,"er, um, uh",* il faut euh avoir euh une intention particulière -- you um have to have um a particular intention,il faut euh avoir euh une intention particulière,8,you um have to have um a particular intention,39,7099-l -n +s,39 | 7099-l -n +s,intj,no_noun_verb_adj_bucket
903,probablement,none,adv,probably,* il est probablement mort à ce moment-là -- that's probably when he died,il est probablement mort à ce moment-là,7,that's probably when he died,81,1491,81 | 1491,adv,no_noun_verb_adj_bucket
974,outre,none,"adv,prep",besides,* il a en outre publié deux ouvrages -- he also published two works,il a en outre publié deux ouvrages,7,he also published two works,73,2107,73 | 2107,adv|prep,no_noun_verb_adj_bucket
975,tandis,none,,while,* il pria tandis que l'océan gelait -- he prayed while the ocean froze over,il pria tandis que l'océan gelait,6,he prayed while the ocean froze over,74,1984-s,74 | 1984-s,,no_noun_verb_adj_bucket
1001,auparavant,none,adv,beforehand,* je n'ai jamais vu cela auparavant -- I've never seen that before,je n'ai jamais vu cela auparavant,6,I've never seen that before,85,1047,85 | 1047,adv,no_noun_verb_adj_bucket
1009,absolument,Adverbs – differences across registers,adv,absolutely,* cela ne veut absolument rien dire -- that means absolutely nothing at all,cela ne veut absolument rien dire,6,that means absolutely nothing at all,75,1829+s,75 | 1829+s,adv,no_noun_verb_adj_bucket
1013,complètement,Adverbs – differences across registers,"adv,nm",completely,* le ciel est complètement couvert -- the sky is completely overcast,le ciel est complètement couvert,5,the sky is completely overcast,79,1513,79 | 1513,adv|nm,moved_from_nouns_contains_adv_or_conj
1021,certes,none,adv,"indeed, certainly, of course",* le rapport ne fournit certes pas de solution miracle -- the report certainly doesn't provide the miraculous solution,le rapport ne fournit certes pas de solution miracle,9,the report certainly doesn't provide the miraculous solution,79,1477,79 | 1477,adv,no_noun_verb_adj_bucket
1023,autrement,none,adv,"differently, something else, otherwise",* les Américains ont décidé d'agir autrement -- the Americans decided to act otherwise,les Américains ont décidé d'agir autrement,6,the Americans decided to act otherwise,81,1309,81 | 1309,adv,no_noun_verb_adj_bucket
1025,désormais,Adverbs – differences across registers,adv,"from now on, henceforth",* c'est désormais chose faite -- it's henceforth a done deal,c'est désormais chose faite,4,it's henceforth a done deal,71,2158,71 | 2158,adv,no_noun_verb_adj_bucket
1071,certainement,Adverbs – differences across registers,adv,certainly,* ce n'est certainement pas nous qui ferons cela -- we are certainly not the ones to do that,ce n'est certainement pas nous qui ferons cela,8,we are certainly not the ones to do that,76,1660,76 | 1660,adv,no_noun_verb_adj_bucket
1103,voici,none,prep,"here is, here are, this is, these are",* voici le résultat de l'essai -- here's the result of the test,voici le résultat de l'essai,5,here's the result of the test,76,1575,76 | 1575,prep,no_noun_verb_adj_bucket
1148,parfaitement,none,adv,perfectly,* votre baladeur fonctionne parfaitement -- your Walkman works perfectly,votre baladeur fonctionne parfaitement,4,your Walkman works perfectly,82,1043,82 | 1043,adv,no_noun_verb_adj_bucket
1170,sinon,none,conj,"otherwise, or else","* mais n'anticipons pas, sinon nous n'arriverons jamais -- let's not get impatient or we'll never arrive there","mais n'anticipons pas, sinon nous n'arriverons jamais",7,let's not get impatient or we'll never arrive there,75,1552,75 | 1552,conj,no_noun_verb_adj_bucket
1172,au-delà,none,"adv,nmi",beyond,* la réalité va au-delà des concepts -- reality surpasses concepts,la réalité va au-delà des concepts,6,reality surpasses concepts,79,1255,79 | 1255,adv|nmi,moved_from_nouns_contains_adv_or_conj
1177,etc,none,,"etc., et cetera","* j'ai dormi dans les gares, etc. -- I slept in train stations, etc.","j'ai dormi dans les gares, etc.",6,"I slept in train stations, etc.",66,2229,66 | 2229,,no_noun_verb_adj_bucket
1194,facilement,none,adv,easily,* j'ai retrouvé facilement le carton -- I easily located the cardboard box,j'ai retrouvé facilement le carton,5,I easily located the cardboard box,86,801,86 | 801,adv,no_noun_verb_adj_bucket
1197,précisément,none,adv,precisely,* pouvez-vous nous parler plus précisément des personnes que vous suivez? -- can you tell us more precisely about the people you track?,pouvez-vous nous parler plus précisément des personnes que vous suivez?,10,can you tell us more precisely about the people you track?,80,1126,80 | 1126,adv,no_noun_verb_adj_bucket
1208,bientôt,none,adv,soon,"* bientôt, je vous connaîtrai mieux que vousmême -- soon I will know you better than you do","bientôt, je vous connaîtrai mieux que vousmême",7,soon I will know you better than you do,72,1665,72 | 1665,adv,no_noun_verb_adj_bucket
1217,dehors,none,"adv,nm(pl),prep",outside,* dehors il fait froid -- it's cold outside,dehors il fait froid,4,it's cold outside,73,1594,73 | 1594,adv|nm(pl)|prep,moved_from_nouns_contains_adv_or_conj
1222,récemment,none,adv,recently,* j'ai reçu récemment une lettre -- I recently received a letter,j'ai reçu récemment une lettre,5,I recently received a letter,74,1536,74 | 1536,adv,no_noun_verb_adj_bucket
1252,sérieusement,none,adv,seriously,* il aurait mieux fait d'étudier sérieusement -- it would have been better for him to have studied seriously,il aurait mieux fait d'étudier sérieusement,6,it would have been better for him to have studied seriously,87,679,87 | 679,adv,no_noun_verb_adj_bucket
1271,néanmoins,none,"adv,conj",nevertheless,"* avez-vous néanmoins un code de discipline à respecter? -- still, don't you have a code of conduct to follow?",avez-vous néanmoins un code de discipline à respecter?,8,"still, don't you have a code of conduct to follow?",80,1057,80 | 1057,adv|conj,no_noun_verb_adj_bucket
1316,entièrement,none,adv,"entirely, completely",* je suis entièrement d'accord avec vous -- I completely agree with you,je suis entièrement d'accord avec vous,6,I completely agree with you,81,973,81 | 973,adv,no_noun_verb_adj_bucket
1319,clairement,Adverbs – differences across registers,adv,clearly,* le rapport de force est clairement déséquilibré -- the threat assessment is clearly skewed,le rapport de force est clairement déséquilibré,7,the threat assessment is clearly skewed,70,1620,70 | 1620,adv,no_noun_verb_adj_bucket
1332,justement,Adverbs – differences across registers,adv,"exactly, rightly, precisely",* j'étais justement en train de faire du thé -- I was just making some tea,j'étais justement en train de faire du thé,8,I was just making some tea,70,1631-n +s,70 | 1631-n +s,adv,no_noun_verb_adj_bucket
1340,évidemment,Adverbs – differences across registers,adv,obviously,"* en tout cas, évidemment, elles vous connaissent -- in any case, they obviously know you","en tout cas, évidemment, elles vous connaissent",7,"in any case, they obviously know you",70,1562,70 | 1562,adv,no_noun_verb_adj_bucket
1353,totalement,none,adv,totally,* les tribunaux russes sont totalement engorgés -- the Russian court system is totally swamped,les tribunaux russes sont totalement engorgés,6,the Russian court system is totally swamped,77,1162,77 | 1162,adv,no_noun_verb_adj_bucket
1361,oh,none,intj,oh,* au secours! oh non! -- help! oh no!,au secours! oh non!,4,help! oh no!,54,2666-n +s,54 | 2666-n +s,intj,no_noun_verb_adj_bucket
1379,elle-même,none,pro,"herself, itself",* la révolte n'est pas en elle-même un élément de civilisation -- rebellion is not by itself an element of civilization,la révolte n'est pas en elle-même un élément de civilisation,10,rebellion is not by itself an element of civilization,71,1444,71 | 1444,pro,no_noun_verb_adj_bucket
1382,largement,Adverbs – differences across registers,adv,widely,* on doit payer largement sa part d'impôt -- you should pay the bulk of your taxes,on doit payer largement sa part d'impôt,7,you should pay the bulk of your taxes,77,1129,77 | 1129,adv,no_noun_verb_adj_bucket
1395,uniquement,none,adv,only,* il a survécu uniquement avec la diète anticancéreuse -- he only survived via the anti-cancer diet,il a survécu uniquement avec la diète anticancéreuse,8,he only survived via the anti-cancer diet,77,1117,77 | 1117,adv,no_noun_verb_adj_bucket
1405,ah,none,intj,"ah, oh",* ah oui? tu commences à m'intéresser -- oh yeah? you're starting to interest me,ah oui? tu commences à m'intéresser,6,oh yeah? you're starting to interest me,57,2404-n +s,57 | 2404-n +s,intj,no_noun_verb_adj_bucket
1480,au-dessus,none,adv,above,* les avocats ne sont pas au-dessus des lois -- lawyers are not above the law,les avocats ne sont pas au-dessus des lois,8,lawyers are not above the law,63,1789-s,63 | 1789-s,adv,no_noun_verb_adj_bucket
1498,d'autant,none,,since,* il lui est d'autant plus facile d'en acquérir d'autres -- it's so much easier for him to buy other ones,il lui est d'autant plus facile d'en acquérir d'autres,9,it's so much easier for him to buy other ones,75,1120-s,75 | 1120-s,,no_noun_verb_adj_bucket
1518,essentiellement,none,adv,essentially,* votre métier est essentiellement une fonction de médiation -- your trade is essentially a function of mediation,votre métier est essentiellement une fonction de médiation,8,your trade is essentially a function of mediation,77,990,77 | 990,adv,no_noun_verb_adj_bucket
1527,moi-même,none,pro,myself,* j'aimerais redevenir moi-même -- I would like to become myself again,j'aimerais redevenir moi-même,3,I would like to become myself again,73,1153-n,73 | 1153-n,pro,no_noun_verb_adj_bucket
1543,malheureusement,Adverbs – differences across registers,adv,unfortunately,* il y a malheureusement des criminels et des terroristes -- unfortunately there are criminals and terrorists,il y a malheureusement des criminels et des terroristes,9,unfortunately there are criminals and terrorists,72,1218+s,72 | 1218+s,adv,no_noun_verb_adj_bucket
1545,extrêmement,Adverbs – differences across registers,adv,extremely,* ce processus a été extrêmement lent -- this process was extremely slow,ce processus a été extrêmement lent,6,this process was extremely slow,71,1259,71 | 1259,adv,no_noun_verb_adj_bucket
1547,voire,Adverbs – differences across registers,adv,"even, indeed","* deux, trois cent millions. voire plus -- two, three billion. even more.","deux, trois cent millions. voire plus",6,"two, three billion. even more.",74,1104,74 | 1104,adv,no_noun_verb_adj_bucket
1550,effectivement,Adverbs – differences across registers,adv,effectively,* c'est effectivement quelque chose qui nous préoccupe -- indeed that's something we worry about,c'est effectivement quelque chose qui nous préoccupe,7,indeed that's something we worry about,67,1447+s,67 | 1447+s,adv,no_noun_verb_adj_bucket
1559,relativement,none,adv,relatively,* le trafic était dense mais relativement fluide -- the traffic was heavy but relatively free-flowing,le trafic était dense mais relativement fluide,7,the traffic was heavy but relatively free-flowing,74,1105,74 | 1105,adv,no_noun_verb_adj_bucket
1563,réellement,none,adv,really,* elle ne sait pas qui je suis réellement -- she doesn't know who I really am,elle ne sait pas qui je suis réellement,8,she doesn't know who I really am,81,755,81 | 755,adv,no_noun_verb_adj_bucket
1591,guère,Adverbs – differences across registers,adv,hardly,* mon travail n'avançait guère -- my job was hardly going anywhere,mon travail n'avançait guère,4,my job was hardly going anywhere,68,1319,68 | 1319,adv,no_noun_verb_adj_bucket
1612,profondément,none,adv,"profoundly, deeply",* j'en suis profondément heureux -- Iam deeply pleased about it,j'en suis profondément heureux,4,Iam deeply pleased about it,82,691,82 | 691,adv,no_noun_verb_adj_bucket
1629,dessus,none,"adv,nm(pl),prep","above, on top",* je mets mes pieds dessus -- I'm putting my feet on top of it,je mets mes pieds dessus,5,I'm putting my feet on top of it,71,1137,71 | 1137,adv|nm(pl)|prep,moved_from_nouns_contains_adv_or_conj
1633,pratiquement,none,adv,practically,* ils ont continué de grimper de manière pratiquement ininterrompue -- they continued with their practically uninterrupted climbing,ils ont continué de grimper de manière pratiquement ininterrompue,9,they continued with their practically uninterrupted climbing,78,816,78 | 816,adv,no_noun_verb_adj_bucket
1692,eh,none,intj,"hey, uh","* eh bien, j'ai changé d'avis -- well, I have changed my mind","eh bien, j'ai changé d'avis",5,"well, I have changed my mind",60,1647-n +s,60 | 1647-n +s,intj,no_noun_verb_adj_bucket
1710,généralement,Adverbs – differences across registers,adv,generally,* les conditions sont généralement favorables -- the conditions are generally favorable,les conditions sont généralement favorables,5,the conditions are generally favorable,72,1044,72 | 1044,adv,no_noun_verb_adj_bucket
1727,suffisamment,none,adv,sufficiently,* je ne l'ai pas dit suffisamment -- I haven't said it enough,je ne l'ai pas dit suffisamment,6,I haven't said it enough,76,843,76 | 843,adv,no_noun_verb_adj_bucket
1734,apparemment,none,adv,apparently,"* apparemment, ces moulins tournent encore -- apparently, these mills are still turning","apparemment, ces moulins tournent encore",5,"apparently, these mills are still turning",81,631,81 | 631,adv,no_noun_verb_adj_bucket
1750,sûrement,none,adv,surely,* quelqu'un a sûrement besoin d'aide -- someone surely needs help,quelqu'un a sûrement besoin d'aide,5,someone surely needs help,75,867-n,75 | 867-n,adv,no_noun_verb_adj_bucket
1766,contrairement,none,adv,contrary,* contrairement à une idée couramment répandue -- contrary to a commonly held idea,contrairement à une idée couramment répandue,6,contrary to a commonly held idea,78,723,78 | 723,adv,no_noun_verb_adj_bucket
1769,fortement,Adverbs – differences across registers,adv,strongly,"* encore une fois, j'insiste fortement -- again, I strongly insist","encore une fois, j'insiste fortement",5,"again, I strongly insist",73,917,73 | 917,adv,no_noun_verb_adj_bucket
1777,là-bas,Adverbs – differences across registers,adv,"over there, out there",* il y a deux mecs là-bas qui vous cherchent -- there are two guys over there looking for you,il y a deux mecs là-bas qui vous cherchent,9,there are two guys over there looking for you,69,1100-n,69 | 1100-n,adv,no_noun_verb_adj_bucket
1888,régulièrement,none,adv,regularly,* elle a promis de venir régulièrement -- she promised to come regularly,elle a promis de venir régulièrement,6,she promised to come regularly,78,666,78 | 666,adv,no_noun_verb_adj_bucket
1928,ouais,none,intj,yeah,"* j'aime mon job. ouais, bien sûr -- I like my job. yeah, of course","j'aime mon job. ouais, bien sûr",6,"I like my job. yeah, of course",43,2215-l -n +s,43 | 2215-l -n +s,intj,no_noun_verb_adj_bucket
1965,principalement,Adverbs – differences across registers,adv,"principally, mainly, primarily",* c'est sur les femmes principalement qu'elle a exercé une grande influence -- it's primarily with women that she wields great influence,c'est sur les femmes principalement qu'elle a exercé une grande influence,11,it's primarily with women that she wields great influence,77,639,77 | 639,adv,no_noun_verb_adj_bucket
1975,nécessairement,none,adv,necessarily,* le bien n'est pas nécessairement beau -- what's good is not necessarily beautiful,le bien n'est pas nécessairement beau,6,what's good is not necessarily beautiful,75,707,75 | 707,adv,no_noun_verb_adj_bucket
2010,bien?,Adverbs – differences across registers,adv,well,"* bon ... ben il va falloir que je m'y mette -- OK, well I will have to get busy with it",bon ... ben il va falloir que je m'y mette,10,"OK, well I will have to get busy with it",51,1633+s,51 | 1633+s,adv,no_noun_verb_adj_bucket
2018,normalement,Adverbs – differences across registers,adv,normally,"* normalement, je suis un chien très gentil -- normally, I'm a very gentle dog","normalement, je suis un chien très gentil",7,"normally, I'm a very gentle dog",75,689,75 | 689,adv,no_noun_verb_adj_bucket
2036,naturellement,Adverbs – differences across registers,adv,naturally,* elle va naturellement sortir avec des garçons -- naturally she will date guys,elle va naturellement sortir avec des garçons,7,naturally she will date guys,72,789,72 | 789,adv,no_noun_verb_adj_bucket
2055,nettement,Adverbs – differences across registers,adv,"clearly, distinctly",* il savait nettement ce qu'il devait et voulait faire -- he knew clearly what he needed to do and wanted to do,il savait nettement ce qu'il devait et voulait faire,9,he knew clearly what he needed to do and wanted to do,75,662,75 | 662,adv,no_noun_verb_adj_bucket
2076,hein,none,intj,"eh, huh","* c'est un bon club, hein? -- this is a good club, eh?","c'est un bon club, hein?",5,"this is a good club, eh?",46,1761-n +s,46 | 1761-n +s,intj,no_noun_verb_adj_bucket
2130,spécialement,none,adv,"especially, particularly",* vous aimez les chats? pas spécialement -- you like cats? not particularly,vous aimez les chats? pas spécialement,6,you like cats? not particularly,86,320,86 | 320,adv,no_noun_verb_adj_bucket
2188,forcément,none,adv,"without question, inevitably",* les deux ne sont pas forcément liées -- the two aren't necessarily connected,les deux ne sont pas forcément liées,7,the two aren't necessarily connected,69,768,69 | 768,adv,no_noun_verb_adj_bucket
2189,conformément,none,adv,in accordance,* le débat se déroulera conformément au règlement -- the debate unfolded according to regulations,le débat se déroulera conformément au règlement,7,the debate unfolded according to regulations,56,1204,56 | 1204,adv,no_noun_verb_adj_bucket
2208,là-dessus,Adverbs – differences across registers,adv,"on top, about it",* j'aimerais connaître son opinion là-dessus -- I would like to know her opinion on the topic,j'aimerais connaître son opinion là-dessus,5,I would like to know her opinion on the topic,72,684-n +s,72 | 684-n +s,adv,no_noun_verb_adj_bucket
2242,franchement,none,adv,frankly,"* franchement, cela ne m'étonne pas -- frankly that doesn't surprise me","franchement, cela ne m'étonne pas",5,frankly that doesn't surprise me,79,474,79 | 474,adv,no_noun_verb_adj_bucket
2327,purement,none,adv,purely,* ma démarche est purement professionnelle -- my interest is purely professional,ma démarche est purement professionnelle,5,my interest is purely professional,79,432,79 | 432,adv,no_noun_verb_adj_bucket
2333,légèrement,Adverbs – differences across registers,adv,"lightly, slightly",* elle baissa légèrement la vitre -- she slightly lowered the window,elle baissa légèrement la vitre,5,she slightly lowered the window,69,690-s,69 | 690-s,adv,no_noun_verb_adj_bucket
2362,aussitôt,Adverbs – differences across registers,adv,"straight away, immediately",* on décida aussitôt de dîner ensemble -- we immediately decided to have supper together,on décida aussitôt de dîner ensemble,6,we immediately decided to have supper together,62,878+l -s,62 | 878+l -s,adv,no_noun_verb_adj_bucket
2363,officiellement,Adverbs – differences across registers,adv,officially,* je suis officiellement une étudiante en première année -- I am officially a first-year student,je suis officiellement une étudiante en première année,8,I am officially a first-year student,67,719,67 | 719,adv,no_noun_verb_adj_bucket
2366,personnellement,Adverbs – differences across registers,adv,personally,* j'en ai fait personnellement l'expérience -- I have had that experience myself,j'en ai fait personnellement l'expérience,5,I have had that experience myself,71,614+s,71 | 614+s,adv,no_noun_verb_adj_bucket
2384,autrefois,Adverbs – differences across registers,adv,in the past,* nous nous sommes aimés autrefois -- we loved each other once,nous nous sommes aimés autrefois,5,we loved each other once,68,700+l,68 | 700+l,adv,no_noun_verb_adj_bucket
2389,définitivement,none,adv,"definitely, permanently, for good",* je m'étais définitivement métamorphosée en enfant sage -- I was permanently morphed into a well-behaved child,je m'étais définitivement métamorphosée en enfant sage,7,I was permanently morphed into a well-behaved child,79,421,79 | 421,adv,no_noun_verb_adj_bucket
2390,heureusement,none,adv,"fortunately, luckily","* heureusement, nous venons juste d'arriver -- luckily we have just arrived","heureusement, nous venons juste d'arriver",5,luckily we have just arrived,73,562,73 | 562,adv,no_noun_verb_adj_bucket
2396,pleinement,none,adv,"fully, thoroughly",* je suis pleinement d'accord avec elle -- I fully agree with her,je suis pleinement d'accord avec elle,6,I fully agree with her,74,527,74 | 527,adv,no_noun_verb_adj_bucket
2444,librement,none,adv,freely,* seuls les piétons peuvent passer librement -- only pedestrians can pass through freely,seuls les piétons peuvent passer librement,6,only pedestrians can pass through freely,83,313,83 | 313,adv,no_noun_verb_adj_bucket
2491,vivement,Adverbs – differences across registers,adv,"sharply, brusquely, lively",* le groupe socialiste soutient vivement tous les amendements -- the socialist group strongly supports all the amendments,le groupe socialiste soutient vivement tous les amendements,8,the socialist group strongly supports all the amendments,72,543,72 | 543,adv,no_noun_verb_adj_bucket
2497,debout,Adverbs – differences across registers,adv,standing,"* je ne peux pas rester debout, sans rien faire -- I can't remain standing, doing nothing","je ne peux pas rester debout, sans rien faire",9,"I can't remain standing, doing nothing",60,843+l -n,60 | 843+l -n,adv,no_noun_verb_adj_bucket
2514,quelques-uns,none,pro,"some, a few",* j'ai retrouvé quelques-uns de ces poèmes -- I recovered some of these poems,j'ai retrouvé quelques-uns de ces poèmes,6,I recovered some of these poems,76,448,76 | 448,pro,no_noun_verb_adj_bucket
2535,rarement,none,adv,"rarely, seldom",* ma mère me punissait rarement -- my mother rarely punished me,ma mère me punissait rarement,5,my mother rarely punished me,76,431,76 | 431,adv,no_noun_verb_adj_bucket
2564,constamment,none,adv,"constantly, continuously, consistent",* notre corps bouge constamment -- our body moves constantly,notre corps bouge constamment,4,our body moves constantly,75,448,75 | 448,adv,no_noun_verb_adj_bucket
2628,dessous,none,"adv,nm(pl),prep","underneath, below, bottom, underside",* il retira la main de dessous sa chemise -- he pulled his hand out from underneath his shirt,il retira la main de dessous sa chemise,8,he pulled his hand out from underneath his shirt,75,424,75 | 424,adv|nm(pl)|prep,moved_from_nouns_contains_adv_or_conj
2637,lentement,Adverbs – differences across registers,adv,slowly,* il se mit à rouler lentement le long du trottoir -- he started rolling slowly along the sidewalk,il se mit à rouler lentement le long du trottoir,10,he started rolling slowly along the sidewalk,64,665+l,64 | 665+l,adv,no_noun_verb_adj_bucket
2659,progressivement,Adverbs – differences across registers,adv,progressively,* il commença à perdre progressivement la vue -- he gradually began to lose his sight,il commença à perdre progressivement la vue,7,he gradually began to lose his sight,75,417,75 | 417,adv,no_noun_verb_adj_bucket
2739,exclusivement,none,adv,"exclusively, solely",* ils avaient des ventes exclusivement au Japon -- they had sales exclusively in Japan,ils avaient des ventes exclusivement au Japon,7,they had sales exclusively in Japan,78,348,78 | 348,adv,no_noun_verb_adj_bucket
2742,volontiers,Adverbs – differences across registers,adv,"with pleasure, willingly, gladly",* je serais volontiers mort dans cette maison -- I would gladly die in this house,je serais volontiers mort dans cette maison,7,I would gladly die in this house,72,458,72 | 458,adv,no_noun_verb_adj_bucket
2767,éventuellement,Adverbs – differences across registers,adv,possibly,* des sanctions seront éventuellement prises -- sanctions will eventually be taken,des sanctions seront éventuellement prises,5,sanctions will eventually be taken,69,513,69 | 513,adv,no_noun_verb_adj_bucket
2778,quasi,none,"adv,nm","almost, nearly",* on entretient un lien quasi mystique avec son pays natal -- we maintain an almost mystical connection with our native country,on entretient un lien quasi mystique avec son pays natal,10,we maintain an almost mystical connection with our native country,76,378,76 | 378,adv|nm,moved_from_nouns_contains_adv_or_conj
2813,strictement,none,adv,strictly,* nous ne sommes pas strictement obligés -- we aren't strictly obligated,nous ne sommes pas strictement obligés,6,we aren't strictly obligated,77,348,77 | 348,adv,no_noun_verb_adj_bucket
2915,considérablement,none,adv,"considerably, significantly, extensively",* nous proposons de réduire considérablement les impôts -- we propose to reduce taxes considerably,nous proposons de réduire considérablement les impôts,7,we propose to reduce taxes considerably,73,399,73 | 399,adv,no_noun_verb_adj_bucket
2930,correctement,none,adv,properly,* faisons les choses correctement -- let's do things correctly,faisons les choses correctement,4,let's do things correctly,74,372,74 | 372,adv,no_noun_verb_adj_bucket
2957,gravement,none,adv,"seriously, solemnly, gravely",* deux maisons ont été gravement endommagées -- two houses were seriously damaged,deux maisons ont été gravement endommagées,6,two houses were seriously damaged,79,286,79 | 286,adv,no_noun_verb_adj_bucket
2990,proprement,Adverbs – differences across registers,adv,"cleanly, neatly, properly",* je trouve cela proprement scandaleux -- I find that properly scandalous,je trouve cela proprement scandaleux,5,I find that properly scandalous,74,351,74 | 351,adv,no_noun_verb_adj_bucket
2994,encontre,none,adv,contrary to,* tu ne peux pas aller à l'encontre de sa personnalité -- you can't go contrary to his personality,tu ne peux pas aller à l'encontre de sa personnalité,10,you can't go contrary to his personality,65,512,65 | 512,adv,no_noun_verb_adj_bucket
3013,tantôt,Adverbs – differences across registers,adv,"this afternoon, sometimes","* des voix tantôt masculines, tantôt féminines -- voices that were sometimes masculine, sometimes feminine","des voix tantôt masculines, tantôt féminines",6,"voices that were sometimes masculine, sometimes feminine",60,596+l,60 | 596+l,adv,no_noun_verb_adj_bucket
3014,publiquement,none,adv,publicly,* il ne voulait pas critiquer publiquement ses supérieurs -- he didn't want to publicly criticize his superiors,il ne voulait pas critiquer publiquement ses supérieurs,8,he didn't want to publicly criticize his superiors,75,341,75 | 341,adv,no_noun_verb_adj_bucket
3038,systématiquement,none,adv,systematically,* ce genre de choses sort systématiquement -- this kind of thing happens systematically,ce genre de choses sort systématiquement,6,this kind of thing happens systematically,77,307,77 | 307,adv,no_noun_verb_adj_bucket
3039,énormément,Adverbs – differences across registers,adv,enormously,* j'ai énormément d'admiration pour lui -- I have a lot of admiration for him,j'ai énormément d'admiration pour lui,5,I have a lot of admiration for him,63,540+s,63 | 540+s,adv,no_noun_verb_adj_bucket
3058,dedans,Adverbs – differences across registers,"adv,nm(pl),prep","inside, indoors",* je suis tombé dedans quand j'étais petit -- I fell into it when I was young,je suis tombé dedans quand j'étais petit,7,I fell into it when I was young,62,547-n,62 | 547-n,adv|nm(pl)|prep,moved_from_nouns_contains_adv_or_conj
