number,french_lemma,thematic,pos,adverb_type,formation,is_invariable,placement_position,placement_note,placement_example_front,placement_example_end,example_target_form,memory_note,chinese_translation,english,example,example_french,word count,example_english,range_count,frequency_raw,range_pipe_frequency,pos_tokens,reason
348,tard,none,adv,time,simple adverb,true,sentence_beginning_or_end,Often at the beginning or end of the sentence. Short common time adverbs may also appear near the verb.,"Tard, je travaille.",Je travaille tard.,tard,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,晚；迟,late,"* retournez au lit, il est tard -- go back to bed, it's late 7878d8878688","retournez au lit, il est tard",6,"go back to bed, it's late 7878d8878688",82,3996,82 | 3996,adv,no_noun_verb_adj_bucket
349,enfin,none,adv,time,simple adverb,true,sentence_beginning_or_end,Often at the beginning or end of the sentence. Short common time adverbs may also appear near the verb.,"Enfin, je travaille.",Je travaille enfin.,enfin,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,终于；最后；总之,"at last, finally",* elle avait enfin la réponse -- she finally got the answer,elle avait enfin la réponse,5,she finally got the answer,74,5989,74 | 5989,adv,no_noun_verb_adj_bucket
352,cependant,none,"adv,conj",connector/logical,simple adverb / conjunction,true,sentence_beginning_or_between_clauses,Usually at the beginning of the sentence or between clauses to connect ideas.,"Cependant, il faut continuer.","Il faut continuer; cependant, il faut rester prudent.",cependant,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,然而,however,"* cette sécurité se trouve cependant menacée -- this security is, however, threatened",cette sécurité se trouve cependant menacée,6,"this security is, however, threatened",81,4220,81 | 4220,adv|conj,no_noun_verb_adj_bucket
360,ailleurs,none,adv,place,simple adverb,true,after_verb_or_sentence_end,Usually after the verb/object or at the end of the sentence.,"Ailleurs, je reste.",Je reste ailleurs.,ailleurs,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,在别处,"elsewhere, somewhere else",* les négociations décisives se tiennent ailleurs -- the decisive negotiations are taking place elsewhere,les négociations décisives se tiennent ailleurs,6,the decisive negotiations are taking place elsewhere,84,3382,84 | 3382,adv,no_noun_verb_adj_bucket
361,vraiment,Adverbs – differences across registers,adv,degree/intensity,derived -ment adverb,true,before_modified_word,"Usually before the adjective, adverb, or phrase it modifies. With verbs, some degree adverbs can appear after the verb or verb group.",Il est vraiment rapide.,Il travaille vraiment.,vraiment,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,真正地；确实；非常,"truly, really, very","* très mauvais, c'est pas vraiment sexy -- very bad, it's not really sexy","très mauvais, c'est pas vraiment sexy",6,"very bad, it's not really sexy",70,7077?n +s,70 | 7077?n +s,adv,no_noun_verb_adj_bucket
377,autant,none,adv,degree/intensity,simple adverb,true,before_modified_word,"Usually before the adjective, adverb, or phrase it modifies. With verbs, some degree adverbs can appear after the verb or verb group.",Il est autant rapide.,Il travaille autant.,autant,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,同样多；这么多,"as much, as many",* il a une bonne raison pour tarder autant -- he has a good reason for being so late,il a une bonne raison pour tarder autant,8,he has a good reason for being so late,84,3276,84 | 3276,adv,no_noun_verb_adj_bucket
410,parfois,none,adv,frequency,simple adverb,true,after_conjugated_verb,"Usually after the conjugated verb. In passé composé, often between the auxiliary and the past participle.",Je parfois travaille.,J'ai parfois travaillé.,parfois,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,有时,sometimes,* il est parfois sage d'être un peu fou -- sometimes it's wise to be a little bit crazy,il est parfois sage d'être un peu fou,8,sometimes it's wise to be a little bit crazy,83,3241,83 | 3241,adv,no_noun_verb_adj_bucket
411,lors,Adverbs – differences across registers,adv,time,simple adverb,true,sentence_beginning_or_end,Often at the beginning or end of the sentence. Short common time adverbs may also appear near the verb.,"Lors, je travaille.",Je travaille lors.,lors,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,在……的时候,at the time of,* je vous ai vu lors de votre dernière visite -- I saw you at the time of our last visit,je vous ai vu lors de votre dernière visite,9,I saw you at the time of our last visit,69,6429,69 | 6429,adv,no_noun_verb_adj_bucket
439,notamment,Adverbs – differences across registers,adv,focus/restriction,derived -ment adverb,true,before_focused_element_or_near_verb,Usually before the focused word or near the verb to limit or emphasize part of the sentence.,Il veut notamment comprendre.,Il parle français notamment.,notamment,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,尤其；特别是,notably,* on ignore notamment si des gendarmes figurent parmi les victimes -- at the moment it's unsure whether policemen are among the victims,on ignore notamment si des gendarmes figurent parmi les victimes,10,at the moment it's unsure whether policemen are among the victims,71,5570,71 | 5570,adv,no_noun_verb_adj_bucket
460,pourtant,none,adv,connector/logical,simple adverb,true,sentence_beginning_or_between_clauses,Usually at the beginning of the sentence or between clauses to connect ideas.,"Pourtant, il faut continuer.","Il faut continuer; pourtant, il faut rester prudent.",pourtant,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,然而；可是,"yet, nonetheless, nevertheless",* pourtant cette perspective aussi m'effrayait -- yet this outlook also frightened me,pourtant cette perspective aussi m'effrayait,5,yet this outlook also frightened me,77,4017,77 | 4017,adv,no_noun_verb_adj_bucket
481,presque,Adverbs – differences across registers,adv,degree/intensity,simple adverb,true,before_modified_word,"Usually before the adjective, adverb, or phrase it modifies. With verbs, some degree adverbs can appear after the verb or verb group.",Il est presque rapide.,Il travaille presque.,presque,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,almost,almost,* il y a presque 10 millions de lignes téléphoniques -- there are almost 10 million telephone lines,il y a presque 10 millions de lignes téléphoniques,9,there are almost 10 million telephone lines,77,3680,77 | 3680,adv,no_noun_verb_adj_bucket
560,c'est-à-dire,none,adv,connector/logical,compound adverb / adverbial phrase,true,sentence_beginning_or_between_clauses,Usually at the beginning of the sentence or between clauses to connect ideas.,"C'est-à-dire, il faut continuer.","Il faut continuer; c'est-à-dire, il faut rester prudent.",c'est-à-dire,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,也就是说,in other words,"* il s'agit de vivre, c'est-à-dire d'avancer -- it's about living, or in other words about progressing","il s'agit de vivre, c'est-à-dire d'avancer",6,"it's about living, or in other words about progressing",78,3100,78 | 3100,adv,no_noun_verb_adj_bucket
581,partout,none,adv,place,simple adverb,true,after_verb_or_sentence_end,Usually after the verb/object or at the end of the sentence.,"Partout, je reste.",Je reste partout.,partout,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,到处；处处,everywhere,* je t'ai cherché partout -- I looked everywhere for you,je t'ai cherché partout,4,I looked everywhere for you,83,2191,83 | 2191,adv,no_noun_verb_adj_bucket
588,d'ailleurs,none,adv,connector/logical,compound adverb / adverbial phrase,true,sentence_beginning_or_between_clauses,Usually at the beginning of the sentence or between clauses to connect ideas.,"D'ailleurs, il faut continuer.","Il faut continuer; d'ailleurs, il faut rester prudent.",d'ailleurs,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,此外；况且,"moreover, besides, for that matter","* je n'entends d'ailleurs pas le tenir secret -- besides, I don't intend to keep it a secret",je n'entends d'ailleurs pas le tenir secret,7,"besides, I don't intend to keep it a secret",77,3086,77 | 3086,adv,no_noun_verb_adj_bucket
593,rapidement,none,adv,manner,derived -ment adverb,true,after_verb_or_verb_group,Usually after the conjugated verb or after the whole verb group.,Il répond rapidement.,Il a répondu rapidement.,rapidement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,快速地,"quickly, rapidly",* ils ont passé rapidement dans l'histoire -- they disappeared quickly into history,ils ont passé rapidement dans l'histoire,6,they disappeared quickly into history,85,1894,85 | 1894,adv,no_noun_verb_adj_bucket
594,autour,none,"adv,nm",place,simple adverb,true,after_verb_or_sentence_end,Usually after the verb/object or at the end of the sentence.,"Autour, je reste.",Je reste autour.,autour,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,周围,around,* je t'emmènerai autour du monde -- I'll take you around the world,je t'emmènerai autour du monde,5,I'll take you around the world,77,3008,77 | 3008,adv|nm,moved_from_nouns_contains_adv_or_conj
614,auprès,none,adv,place,simple adverb,true,after_verb_or_sentence_end,Usually after the verb/object or at the end of the sentence.,"Auprès, je reste.",Je reste auprès.,auprès,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,在……附近；向……那里,"nearby, close to",* il avait beaucoup de succès auprès des femmes -- he had much success with women,il avait beaucoup de succès auprès des femmes,8,he had much success with women,83,2114,83 | 2114,adv,no_noun_verb_adj_bucket
615,simplement,Adverbs – differences across registers,adv,manner,derived -ment adverb,true,after_verb_or_verb_group,Usually after the conjugated verb or after the whole verb group.,Il répond simplement.,Il a répondu simplement.,simplement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,简单地；只不过,simply,* c'est tout simplement inacceptable -- it's just simply unacceptable,c'est tout simplement inacceptable,4,it's just simply unacceptable,76,3132,76 | 3132,adv,no_noun_verb_adj_bucket
678,environ,Adverbs – differences across registers,"adv,prep,nm",degree/intensity,simple adverb / preposition,true,before_modified_word,"Usually before the adjective, adverb, or phrase it modifies. With verbs, some degree adverbs can appear after the verb or verb group.",Il est environ rapide.,Il travaille environ.,environ,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,大约,"about, thereabouts, or so",* mon père et ma mère sont mariés depuis environ 60 ans -- my father and mother have been married for about 60 years,mon père et ma mère sont mariés depuis environ 60 ans,11,my father and mother have been married for about 60 years,71,3450,71 | 3450,adv|prep|nm,moved_from_nouns_contains_adv_or_conj
711,vite,none,adv,manner,simple adverb,true,after_verb_or_verb_group,Usually after the conjugated verb or after the whole verb group.,Il répond vite.,Il a répondu vite.,vite,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,快；迅速地,"fast, quickly",* déployez les sentinelles ... vite! -- dispatch the guards ... quick!,déployez les sentinelles ... vite!,5,dispatch the guards ... quick!,73,3088,73 | 3088,adv,no_noun_verb_adj_bucket
718,davantage,none,adv,degree/intensity,simple adverb,true,before_modified_word,"Usually before the adjective, adverb, or phrase it modifies. With verbs, some degree adverbs can appear after the verb or verb group.",Il est davantage rapide.,Il travaille davantage.,davantage,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,更多,more,* nous sentons tous que nous devons travailler davantage -- we sense that we must work more,nous sentons tous que nous devons travailler davantage,8,we sense that we must work more,78,2311,78 | 2311,adv,no_noun_verb_adj_bucket
728,actuellement,none,adv,time,derived -ment adverb,true,sentence_beginning_or_end,Often at the beginning or end of the sentence. Short common time adverbs may also appear near the verb.,"Actuellement, je travaille.",Je travaille actuellement.,actuellement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,目前；现在,"at present, at the moment",* je suis très seul actuellement -- I'm very alone at the moment,je suis très seul actuellement,5,I'm very alone at the moment,74,2776,74 | 2776,adv,no_noun_verb_adj_bucket
770,toutefois,none,"adv,conj",connector/logical,simple adverb / conjunction,true,sentence_beginning_or_between_clauses,Usually at the beginning of the sentence or between clauses to connect ideas.,"Toutefois, il faut continuer.","Il faut continuer; toutefois, il faut rester prudent.",toutefois,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,然而；不过,however,"* toutefois, l'industrie connaît des problèmes réels -- however, the industry is experiencing real problems","toutefois, l'industrie connaît des problèmes réels",6,"however, the industry is experiencing real problems",71,3054,71 | 3054,adv|conj,no_noun_verb_adj_bucket
779,particulièrement,none,adv,focus/restriction,derived -ment adverb,true,before_focused_element_or_near_verb,Usually before the focused word or near the verb to limit or emphasize part of the sentence.,Il veut particulièrement comprendre.,Il parle français particulièrement.,particulièrement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,特别地,particularly,* ce sont là des problèmes particulièrement délicats -- those are particularly delicate questions,ce sont là des problèmes particulièrement délicats,7,those are particularly delicate questions,76,2401,76 | 2401,adv,no_noun_verb_adj_bucket
800,combien,Adverbs – differences across registers,"adv,conj",degree/intensity,simple adverb / conjunction,true,before_modified_word,"Usually before the adjective, adverb, or phrase it modifies. With verbs, some degree adverbs can appear after the verb or verb group.",Il est combien rapide.,Il travaille combien.,combien,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,多少,"how much, how many",* tu pèses combien maintenant? -- how much do you weigh now?,tu pèses combien maintenant?,4,how much do you weigh now?,77,2211-n +s,77 | 2211-n +s,adv|conj,no_noun_verb_adj_bucket
805,derrière,Adverbs – differences across registers,"adv,nm,prep",place,simple adverb / preposition,true,after_verb_or_sentence_end,Usually after the verb/object or at the end of the sentence.,"Derrière, je reste.",Je reste derrière.,derrière,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,在后面；后面,last; behind,* Mathieu s'abrita derrière le pilier -- Mathieu took shelter behind the pillar,Mathieu s'abrita derrière le pilier,5,Mathieu took shelter behind the pillar,72,2684,72 | 2684,adv|nm|prep,moved_from_nouns_contains_adv_or_conj
807,immédiatement,none,adv,time,derived -ment adverb,true,sentence_beginning_or_end,Often at the beginning or end of the sentence. Short common time adverbs may also appear near the verb.,"Immédiatement, je travaille.",Je travaille immédiatement.,immédiatement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,立即,immediately,"* les enfants, partez immédiatement -- children, leave immediately","les enfants, partez immédiatement",4,"children, leave immediately",85,1309,85 | 1309,adv,no_noun_verb_adj_bucket
843,finalement,none,adv,time,derived -ment adverb,true,sentence_beginning_or_end,Often at the beginning or end of the sentence. Short common time adverbs may also appear near the verb.,"Finalement, je travaille.",Je travaille finalement.,finalement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,最终；最后,"finally, eventually","* finalement, la porte s'ouvrit -- finally, the door opened","finalement, la porte s'ouvrit",4,"finally, the door opened",79,1874,79 | 1874,adv,no_noun_verb_adj_bucket
857,exactement,Adverbs – differences across registers,adv,manner,derived -ment adverb,true,after_verb_or_verb_group,Usually after the conjugated verb or after the whole verb group.,Il répond exactement.,Il a répondu exactement.,exactement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,准确地；正是,exactly,* la pièce ne paraissait pas exactement sombre -- the room didn't appear exactly dark,la pièce ne paraissait pas exactement sombre,7,the room didn't appear exactly dark,80,1732,80 | 1732,adv,no_noun_verb_adj_bucket
865,hors,none,"adv,prep",place,simple adverb / preposition,true,after_verb_or_sentence_end,Usually after the verb/object or at the end of the sentence.,"Hors, je reste.",Je reste hors.,hors,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,在……之外；除……之外,"except, outside",* ils s'installèrent hors de la ville -- they moved in outside the city,ils s'installèrent hors de la ville,6,they moved in outside the city,80,1716,80 | 1716,adv|prep,no_noun_verb_adj_bucket
869,tellement,Adverbs – differences across registers,adv,degree/intensity,derived -ment adverb,true,before_modified_word,"Usually before the adjective, adverb, or phrase it modifies. With verbs, some degree adverbs can appear after the verb or verb group.",Il est tellement rapide.,Il travaille tellement.,tellement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,如此；这么,so much,* vous êtes tellement différente des autres femelles -- you are so different from other females,vous êtes tellement différente des autres femelles,7,you are so different from other females,77,2006-n,77 | 2006-n,adv,no_noun_verb_adj_bucket
871,demain,Time,"adv,nm",time,simple adverb,true,sentence_beginning_or_end,Often at the beginning or end of the sentence. Short common time adverbs may also appear near the verb.,"Demain, je travaille.",Je travaille demain.,demain,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,明天,tomorrow,* je te verrai demain matin -- I'll see you tomorrow morning,je te verrai demain matin,5,I'll see you tomorrow morning,71,2586,71 | 2586,adv|nm,moved_from_nouns_contains_adv_or_conj
872,hier,none,adv,time,simple adverb,true,sentence_beginning_or_end,Often at the beginning or end of the sentence. Short common time adverbs may also appear near the verb.,"Hier, je travaille.",Je travaille hier.,hier,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,昨天,yesterday,"* tu nous as manqué, hier soir -- we missed you last night","tu nous as manqué, hier soir",6,we missed you last night,65,3313-n +s,65 | 3313-n +s,adv,no_noun_verb_adj_bucket
888,directement,none,adv,manner,derived -ment adverb,true,after_verb_or_verb_group,Usually after the conjugated verb or after the whole verb group.,Il répond directement.,Il a répondu directement.,directement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,直接地,directly,* son action s'exerce directement ou par intermédiaire -- his actions are taken personally or by an intermediary,son action s'exerce directement ou par intermédiaire,7,his actions are taken personally or by an intermediary,81,1606,81 | 1606,adv,no_noun_verb_adj_bucket
903,probablement,none,adv,connector/logical,derived -ment adverb,true,sentence_beginning_or_between_clauses,Usually at the beginning of the sentence or between clauses to connect ideas.,"Probablement, il faut continuer.","Il faut continuer; probablement, il faut rester prudent.",probablement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,大概；可能,probably,* il est probablement mort à ce moment-là -- that's probably when he died,il est probablement mort à ce moment-là,7,that's probably when he died,81,1491,81 | 1491,adv,no_noun_verb_adj_bucket
974,outre,none,"adv,prep",manner,simple adverb / preposition,true,after_verb_or_verb_group,Usually after the conjugated verb or after the whole verb group.,Il répond outre.,Il a répondu outre.,outre,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,此外；除……之外,besides,* il a en outre publié deux ouvrages -- he also published two works,il a en outre publié deux ouvrages,7,he also published two works,73,2107,73 | 2107,adv|prep,no_noun_verb_adj_bucket
1001,auparavant,none,adv,time,simple adverb,true,sentence_beginning_or_end,Often at the beginning or end of the sentence. Short common time adverbs may also appear near the verb.,"Auparavant, je travaille.",Je travaille auparavant.,auparavant,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,以前；先前,beforehand,* je n'ai jamais vu cela auparavant -- I've never seen that before,je n'ai jamais vu cela auparavant,6,I've never seen that before,85,1047,85 | 1047,adv,no_noun_verb_adj_bucket
1009,absolument,Adverbs – differences across registers,adv,degree/intensity,derived -ment adverb,true,before_modified_word,"Usually before the adjective, adverb, or phrase it modifies. With verbs, some degree adverbs can appear after the verb or verb group.",Il est absolument rapide.,Il travaille absolument.,absolument,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,绝对地；完全地,absolutely,* cela ne veut absolument rien dire -- that means absolutely nothing at all,cela ne veut absolument rien dire,6,that means absolutely nothing at all,75,1829+s,75 | 1829+s,adv,no_noun_verb_adj_bucket
1013,complètement,Adverbs – differences across registers,"adv,nm",degree/intensity,derived -ment adverb,true,before_modified_word,"Usually before the adjective, adverb, or phrase it modifies. With verbs, some degree adverbs can appear after the verb or verb group.",Il est complètement rapide.,Il travaille complètement.,complètement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,完全地,completely,* le ciel est complètement couvert -- the sky is completely overcast,le ciel est complètement couvert,5,the sky is completely overcast,79,1513,79 | 1513,adv|nm,moved_from_nouns_contains_adv_or_conj
1021,certes,none,adv,connector/logical,simple adverb,true,sentence_beginning_or_between_clauses,Usually at the beginning of the sentence or between clauses to connect ideas.,"Certes, il faut continuer.","Il faut continuer; certes, il faut rester prudent.",certes,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,当然；确实,"indeed, certainly, of course",* le rapport ne fournit certes pas de solution miracle -- the report certainly doesn't provide the miraculous solution,le rapport ne fournit certes pas de solution miracle,9,the report certainly doesn't provide the miraculous solution,79,1477,79 | 1477,adv,no_noun_verb_adj_bucket
1023,autrement,none,adv,connector/logical,derived -ment adverb,true,sentence_beginning_or_between_clauses,Usually at the beginning of the sentence or between clauses to connect ideas.,"Autrement, il faut continuer.","Il faut continuer; autrement, il faut rester prudent.",autrement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,否则；以不同方式,"differently, something else, otherwise",* les Américains ont décidé d'agir autrement -- the Americans decided to act otherwise,les Américains ont décidé d'agir autrement,6,the Americans decided to act otherwise,81,1309,81 | 1309,adv,no_noun_verb_adj_bucket
1025,désormais,Adverbs – differences across registers,adv,time,simple adverb,true,sentence_beginning_or_end,Often at the beginning or end of the sentence. Short common time adverbs may also appear near the verb.,"Désormais, je travaille.",Je travaille désormais.,désormais,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,从现在起；今后,"from now on, henceforth",* c'est désormais chose faite -- it's henceforth a done deal,c'est désormais chose faite,4,it's henceforth a done deal,71,2158,71 | 2158,adv,no_noun_verb_adj_bucket
1071,certainement,Adverbs – differences across registers,adv,connector/logical,derived -ment adverb,true,sentence_beginning_or_between_clauses,Usually at the beginning of the sentence or between clauses to connect ideas.,"Certainement, il faut continuer.","Il faut continuer; certainement, il faut rester prudent.",certainement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,当然；一定,certainly,* ce n'est certainement pas nous qui ferons cela -- we are certainly not the ones to do that,ce n'est certainement pas nous qui ferons cela,8,we are certainly not the ones to do that,76,1660,76 | 1660,adv,no_noun_verb_adj_bucket
1148,parfaitement,none,adv,degree/intensity,derived -ment adverb,true,before_modified_word,"Usually before the adjective, adverb, or phrase it modifies. With verbs, some degree adverbs can appear after the verb or verb group.",Il est parfaitement rapide.,Il travaille parfaitement.,parfaitement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,完美地；完全地,perfectly,* votre baladeur fonctionne parfaitement -- your Walkman works perfectly,votre baladeur fonctionne parfaitement,4,your Walkman works perfectly,82,1043,82 | 1043,adv,no_noun_verb_adj_bucket
1172,au-delà,none,"adv,nmi",place,compound adverb / adverbial phrase,true,after_verb_or_sentence_end,Usually after the verb/object or at the end of the sentence.,"Au-delà, je reste.",Je reste au-delà.,au-delà,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,在……之外；超过,beyond,* la réalité va au-delà des concepts -- reality surpasses concepts,la réalité va au-delà des concepts,6,reality surpasses concepts,79,1255,79 | 1255,adv|nmi,moved_from_nouns_contains_adv_or_conj
1194,facilement,none,adv,manner,derived -ment adverb,true,after_verb_or_verb_group,Usually after the conjugated verb or after the whole verb group.,Il répond facilement.,Il a répondu facilement.,facilement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,容易地,easily,* j'ai retrouvé facilement le carton -- I easily located the cardboard box,j'ai retrouvé facilement le carton,5,I easily located the cardboard box,86,801,86 | 801,adv,no_noun_verb_adj_bucket
1197,précisément,none,adv,manner,derived -ment adverb,true,after_verb_or_verb_group,Usually after the conjugated verb or after the whole verb group.,Il répond précisément.,Il a répondu précisément.,précisément,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,精确地；正是,precisely,* pouvez-vous nous parler plus précisément des personnes que vous suivez? -- can you tell us more precisely about the people you track?,pouvez-vous nous parler plus précisément des personnes que vous suivez?,10,can you tell us more precisely about the people you track?,80,1126,80 | 1126,adv,no_noun_verb_adj_bucket
1208,bientôt,none,adv,time,simple adverb,true,sentence_beginning_or_end,Often at the beginning or end of the sentence. Short common time adverbs may also appear near the verb.,"Bientôt, je travaille.",Je travaille bientôt.,bientôt,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,很快；不久,soon,"* bientôt, je vous connaîtrai mieux que vousmême -- soon I will know you better than you do","bientôt, je vous connaîtrai mieux que vousmême",7,soon I will know you better than you do,72,1665,72 | 1665,adv,no_noun_verb_adj_bucket
1217,dehors,none,"adv,nm(pl),prep",place,simple adverb / preposition,true,after_verb_or_sentence_end,Usually after the verb/object or at the end of the sentence.,"Dehors, je reste.",Je reste dehors.,dehors,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,在外面,outside,* dehors il fait froid -- it's cold outside,dehors il fait froid,4,it's cold outside,73,1594,73 | 1594,adv|nm(pl)|prep,moved_from_nouns_contains_adv_or_conj
1222,récemment,none,adv,time,derived -ment adverb,true,sentence_beginning_or_end,Often at the beginning or end of the sentence. Short common time adverbs may also appear near the verb.,"Récemment, je travaille.",Je travaille récemment.,récemment,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,最近,recently,* j'ai reçu récemment une lettre -- I recently received a letter,j'ai reçu récemment une lettre,5,I recently received a letter,74,1536,74 | 1536,adv,no_noun_verb_adj_bucket
1252,sérieusement,none,adv,manner,derived -ment adverb,true,after_verb_or_verb_group,Usually after the conjugated verb or after the whole verb group.,Il répond sérieusement.,Il a répondu sérieusement.,sérieusement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,认真地；严重地,seriously,* il aurait mieux fait d'étudier sérieusement -- it would have been better for him to have studied seriously,il aurait mieux fait d'étudier sérieusement,6,it would have been better for him to have studied seriously,87,679,87 | 679,adv,no_noun_verb_adj_bucket
1271,néanmoins,none,"adv,conj",connector/logical,simple adverb / conjunction,true,sentence_beginning_or_between_clauses,Usually at the beginning of the sentence or between clauses to connect ideas.,"Néanmoins, il faut continuer.","Il faut continuer; néanmoins, il faut rester prudent.",néanmoins,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,然而；尽管如此,nevertheless,"* avez-vous néanmoins un code de discipline à respecter? -- still, don't you have a code of conduct to follow?",avez-vous néanmoins un code de discipline à respecter?,8,"still, don't you have a code of conduct to follow?",80,1057,80 | 1057,adv|conj,no_noun_verb_adj_bucket
1316,entièrement,none,adv,degree/intensity,derived -ment adverb,true,before_modified_word,"Usually before the adjective, adverb, or phrase it modifies. With verbs, some degree adverbs can appear after the verb or verb group.",Il est entièrement rapide.,Il travaille entièrement.,entièrement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,完全地,"entirely, completely",* je suis entièrement d'accord avec vous -- I completely agree with you,je suis entièrement d'accord avec vous,6,I completely agree with you,81,973,81 | 973,adv,no_noun_verb_adj_bucket
1319,clairement,Adverbs – differences across registers,adv,manner,derived -ment adverb,true,after_verb_or_verb_group,Usually after the conjugated verb or after the whole verb group.,Il répond clairement.,Il a répondu clairement.,clairement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,清楚地,clearly,* le rapport de force est clairement déséquilibré -- the threat assessment is clearly skewed,le rapport de force est clairement déséquilibré,7,the threat assessment is clearly skewed,70,1620,70 | 1620,adv,no_noun_verb_adj_bucket
1332,justement,Adverbs – differences across registers,adv,time,derived -ment adverb,true,sentence_beginning_or_end,Often at the beginning or end of the sentence. Short common time adverbs may also appear near the verb.,"Justement, je travaille.",Je travaille justement.,justement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,正好；恰恰,"exactly, rightly, precisely",* j'étais justement en train de faire du thé -- I was just making some tea,j'étais justement en train de faire du thé,8,I was just making some tea,70,1631-n +s,70 | 1631-n +s,adv,no_noun_verb_adj_bucket
